ticket_id,issue_category_id,description,status,priority,resolution_summary
1,No Internet,Subscriber reports Red LOS light on ONT. No connectivity since morning.,Closed,High,Found a micro-bend in the fiber patch cord at the subscriber end. Replaced patch cord; signal levels restored to -19dBm.
2,Slow Internet Speed,User getting only 10Mbps on a 100Mbps plan via Ethernet.,Closed,Medium,Identified a faulty Cat5 cable limiting the link speed to 10/100. Replaced with Cat6; speed tests now confirm 94Mbps.
3,Router / ONT Issue,ONT is power cycling every 5 minutes.,Closed,High,Power adapter was outputting unstable voltage. Replaced 12V DC adapter; ONT stability confirmed for 24 hours.
4,Wi-Fi Configuration,Customer unable to see the 5GHz SSID on new iPhone.,Closed,Low,"Logged into ONT; 5GHz radio was disabled. Enabled 5GHz, set channel width to 80MHz, and synchronized SSIDs."
5,Network Outage,"Bulk reports of ""No Link"" in the North Sector.",Closed,Critical,Main distribution fiber cut due to road construction. Splicing team repaired the 24-core backbone fiber.
6,Authentication Issue,"PPPoE error ""Authentication Failed"" on router logs.",Closed,Medium,Found a typo in the username on the radius server. Corrected credentials and reset the session.
7,Hardware Failure,Core switch Port 15 shows no activity despite cable swap.,Closed,High,Confirmed SFP module failure. Replaced SFP with a new 10G LR module; link restored.
8,Billing / Account,"Customer paid via app but account still shows ""Suspended.""",Closed,Medium,Payment gateway callback failed. Manually updated the ledger and triggered the automated un-suspension script.
9,Slow Performance,High latency (200ms+) reported during peak evening hours.,Closed,Medium,Identified congestion on the secondary uplink. Re-routed traffic via the primary 10G link and optimized OSPF costs.
10,Application Bug,CRM dashboard not loading ticket history for specific agents.,Closed,Low,Identified a JavaScript error in the caching layer. Cleared server-side Redis cache and patched the API endpoint.
11,Access Request,New engineer needs read-only access to the OLT management console.,Closed,Low,Created a new LDAP user entry and assigned the 'Network-Monitor' role. Verified login.
12,Change Request,"Request to increase bandwidth for the annual ""Day Zero"" event.",Closed,Medium,Temporarily modified the rate-limit profile on the subscriber port from 100M to 1G.
13,No Internet,"""Connected, No Internet"" on all devices. DNS probe failed.",Closed,Medium,Found DNS servers were set to an old IP. Updated DHCP pool to use Google DNS (8.8.8.8) and Cloudflare (1.1.1.1).
14,Router / ONT Issue,User changed settings and can no longer access the router admin page.,Closed,Low,Performed a hard factory reset. Reconfigured PPPoE and Wi-Fi settings remotely.
